ESTU_NACIONALIDAD;ESTU_GENERO;ESTU_FECHANACIMIENTO;ESTU_ESTUDIANTE;ESTU_PAIS_RESIDE;ESTU_DEPTO_RESIDE;ESTU_MCPIO_RESIDE;ESTU_ESTADOCIVIL;ESTU_TITULOOBTENIDOBACHILLER;ESTU_ANO_EXAMENESTADO_SB11;ESTU_SEMESTRE_EXAMENESTADOSB11;ESTU_PORCENTAJECREDITOSAPROB;ESTU_VALORMATRICULAUNIVERSIDAD;ESTU_TOMO_CURSOPREPARACION;ESTU_SIMULACROTIPOICFES;ESTU_ACTIVIDADREFUERZOAREAS;ESTU_ACTIVIDADREFUERZOGENERIC;ESTU_SEMESTRECURSA;FAMI_HOGARACTUAL;FAMI_CABEZAFAMILIA;FAMI_NUMPERSONASACARGO;FAMI_EDUCACIONPADRE;FAMI_EDUCACIONMADRE;FAMI_OCUPACIONPADRE;FAMI_OCUPACIONMADRE;FAMI_ESTRATOVIVIENDA;FAMI_NIVEL_SISBEN;FAMI_PERSONASHOGAR;FAMI_CUARTOSHOGAR;FAMI_PISOS_HOGAR;FAMI_TIENEINTERNET;FAMI_TIENE_SERVICIOTV;FAMI_TIENECOMPUTADOR;FAMI_TIENELAVADORA;FAMI_TIENE_MICROONDAS;FAMI_TIENE_HORNO;FAMI_TIENEAUTOMOVIL;FAMI_TIENE_DVD;FAMI_TIENE_NEVERA;FAMI_TIENE_CELULAR;FAMI_TELEFONO;FAMI_INGRESO_FMILIAR_MENSUAL;ESTU_TRABAJA_ACTUALMENTE;INST_NOMBRE_INSTITUCION;ESTU_PRGM_ACADEMICO;GRUPOREFERENCIA;ESTU_PRGM_MUNICIPIO;ESTU_PRGM_DEPARTAMENTO;ESTU_NIVEL_PRGM_ACADEMICO;ESTU_METODO_PRGM;ESTU_NUCLEO_PREGRADO;ESTU_INST_MUNICIPIO;ESTU_INST_DEPARTAMENTO;INST_CARACTER_ACADEMICO;INST_ORIGEN;ESTU_MCPIO_PRESENTACION;ESTU_DEPTO_PRESENTACION;ESTU_COD_DEPTO_PRESENTACION;MOD_RAZONA_CUANTITAT_PUNT;MOD_RAZONA_CUANTITATIVO_PNAL;MOD_RAZONA_CUANTITATIVO_PGREF;MOD_LECTURA_CRITICA_PUNT;MOD_LECTURA_CRITICA_PNAL;MOD_LECTURA_CRITICA_PGREF;MOD_COMPETEN_CIUDADA_PUNT;MOD_COMPETEN_CIUDADA_PNAL;MOD_COMPETEN_CIUDADA_PGREF;MOD_INGLES_PUNT;MOD_INGLES_DESEM;MOD_INGLES_PNAL;MOD_INGLES_PGREF;MOD_COMUNI_ESCRITA_PUNT;MOD_COMUNI_ESCRITA_DESEM;MOD_COMUNI_ESCRITA_PNAL;MOD_COMUNI_ESCRITA_PGREF;PUNT_GLOBAL;PERCENTIL_GLOBAL;ESTU_INSE_INDIVIDUAL
COLOMBIA;M;29/01/1997;ESTUDIANTE;COLOMBIA;ANTIOQUIA;MEDELL÷N;Soltero;Bachiller tÇcnico;2014;Segundo semestre;No sigue el sistema de crÇditos;No pag¢ matr°cula;No;No;No;No;3;Es habitual o permanente;No;Ninguna;Secundaria (Bachillerato) incompleta;Secundaria (Bachillerato) incompleta;Empleado obrero u operario;Empleado obrero u operario;Estrato 3;Nivel 2;Cuatro;Tres;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;No;Si;Si;Si;Si;No;No;Si;Si;Si;Entre 1 y menos de 2 SMLV;No;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN CONTROL AMBIENTAL;TECNOLOGICO EN INGENIER÷A, INDUSTRIA Y MINAS;MEDELL÷N;ANTIOQUIA;TECNOLOG÷A;DISTANCIA;INGENIERIA AMBIENTAL, SANITARIA Y AFINES;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;BELLO;ANTIOQUIA;5;109;66;58;115;77;76;125;90;89;118;A2;82;80;120;3;84;85;117;88;50.851955
COLOMBIA;F;20/11/1995;ESTUDIANTE;COLOMBIA;BOGOTA;BOGOTµ, D.C.;Soltero;Bachiller acadÇmico;2014;Primer semestre;Entre el 76% y el 80%;M†s de 5 millones;No;No;No;No;5;Es habitual o permanente;No;Ninguna;Educaci¢n profesional completa;Educaci¢n profesional completa;Empleado de nivel tÇcnico o profesional;Profesional independiente;Estrato 6;No est† clasificada por el SISBEN;Cinco;Cuatro;Madera burda, tabla, tabl¢n;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;Si;10 o m†s SMLV;No;LCI - FUNDACION TECNOLOGICA-BOGOTµ D.C.;DISE•O DE MODAS;TECNOLOGICO EN ARTES - DISE•O - COMUNICACI‡N;BOGOTµ, D.C.;BOGOTA;TECNOLOG÷A;PRESENCIAL;DISE•O;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;NO OFICIAL - FUNDACI‡N;BOGOTµ, D.C.;BOGOTA;11;109;66;63;132;95;89;120;84;78;164;B2;100;99;111;3;68;65;127;97;68.249176
COLOMBIA;F;12/04/1992;ESTUDIANTE;COLOMBIA;SANTANDER;BUCARAMANGA;Soltero;Bachiller acadÇmico;2014;Primer semestre;M†s del 90%;No pag¢ matr°cula;No;No;No;No;3;Es habitual o permanente;No;Ninguna;Primaria incompleta;Secundaria (Bachillerato) incompleta;Trabajador por cuenta propia;Hogar;Estrato 1;Nivel 1;Cuatro;Tres;Madera pulida, baldosa, tableta, m†rmol, alfombra;No;Si;No;Si;No;No;No;Si;Si;Si;Si;Entre 1 y menos de 2 SMLV;No;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN SALUD OCUPACIONAL;TECNOLOGICO EN SALUD;PIEDECUESTA;SANTANDER;TECNOLOG÷A;DISTANCIA;SALUD PUBLICA;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;BUCARAMANGA;SANTANDER;68;85;24;31;82;19;20;109;66;68;91;A1;37;46;82;1;17;14;90;26;43.628731
COLOMBIA;M;09/08/1997;ESTUDIANTE;COLOMBIA;QUINDIO;ARMENIA;Soltero;Bachiller tÇcnico;2014;Segundo semestre;No sigue el sistema de crÇditos;No pag¢ matr°cula;No;No;No;No;4;Es habitual o permanente;No;Ninguna;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Empleado de nivel tÇcnico o profesional;Hogar;Estrato 3;No est† clasificada por el SISBEN;Cuatro;Tres;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;No;Si;No;Si;Si;Si;Si;Entre 2 y menos de 3 SMLV;No;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN MANTENIMIENTO DE EQUIPOS DE COMPUTO, DISE•O E INSTALACION DE CABLEADO ESTRUCTURADO;TECNOLOGICO EN TIC;ARMENIA;QUINDIO;TECNOLOG÷A;PRESENCIAL;SIN CLASIFICAR;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;ARMENIA;QUINDIO;63;98;46;38;123;87;83;124;89;86;126;B1;89;80;75;1;12;14;109;74;58.909958
COLOMBIA;M;08/12/1996;ESTUDIANTE;COLOMBIA;SANTANDER;FLORIDABLANCA;Soltero;Bachiller tÇcnico;2013;Segundo semestre;No sigue el sistema de crÇditos;Entre 500 mil y menos de 1 mill¢n;No;No;No;No;5;Es habitual o permanente;No;Ninguna;Secundaria (Bachillerato) completa;Primaria completa;Trabajador por cuenta propia;Empleado obrero u operario;Estrato 5;Nivel 2;Cinco;Tres;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;No;Si;Si;Si;Si;Si;Si;Entre 2 y menos de 3 SMLV;Si, para contribuir a pagar su matr°cula y/o los gastos del hogar;UNIDADES TECNOLOGICAS DE SANTANDER-BUCARAMANGA;TECNOLOGIA DEPORTIVA;RECREACI‡N Y DEPORTES TYT;BUCARAMANGA;SANTANDER;TECNOLOG÷A;PRESENCIAL;DEPORTES, EDUCACION FISICA Y RECREACION;BUCARAMANGA;SANTANDER;INSTITUCI‡N TECNOL‡GICA;OFICIAL DEPARTAMENTAL;BUCARAMANGA;SANTANDER;68;133;96;97;105;60;66;89;29;33;109;A2;71;74;120;3;84;85;111;78;62.354877
COLOMBIA;F;09/10/1997;ESTUDIANTE;COLOMBIA;BOGOTA;BOGOTµ, D.C.;Soltero;Bachiller acadÇmico;2014;Primer semestre;No sigue el sistema de crÇditos;No pag¢ matr°cula;No;No;No;No;4;Es habitual o permanente;No;Ninguna;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Trabajador por cuenta propia;Otra actividad u ocupaci¢n;Estrato 1;Nivel 1;Tres;Tres;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;Si;No;No;Si;Si;Si;Si;Entre 1 y menos de 2 SMLV;No;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN GESTI‡N EMPRESARIAL;TECNOLOGICO EN ADMINISTRACI‡N Y TURISMO;BOGOTµ, D.C.;BOGOTA;TECNOLOG÷A;PRESENCIAL;ADMINISTRACION;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;BOGOTµ, D.C.;BOGOTA;11;86;26;27;89;30;29;85;23;22;90;A1;35;36;98;2;44;41;90;26;58.553074
COLOMBIA;F;19/06/1994;ESTUDIANTE;COLOMBIA;BOGOTA;BOGOTµ, D.C.;Soltero;Bachiller tÇcnico;2011;Segundo semestre;M†s del 90%;Entre 1 mill¢n y menos de 3 millones;No;No;No;No;4;Es temporal por razones de estudio u otra raz¢n;No;Ninguna;Primaria incompleta;Primaria incompleta;Peque§o empresario;Hogar;Estrato 3;Nivel 2;Seis;Tres;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;Entre 1 y menos de 2 SMLV;Si, pr†ctica obligatoria del programa de estudios;UNIVERSIDAD ECCI-BOGOTµ D.C.;TECNOLOGIA EN DESARROLLO AMBIENTAL;TECNOLOGICO EN INGENIER÷A, INDUSTRIA Y MINAS;BOGOTµ, D.C.;BOGOTA;TECNOLOG÷A;PRESENCIAL;INGENIERIA AMBIENTAL, SANITARIA Y AFINES;BOGOTµ, D.C.;BOGOTA;UNIVERSIDAD;NO OFICIAL - CORPORACI‡N;BOGOTµ, D.C.;BOGOTA;11;70;7;6;62;3;3;67;6;7;98;A1;51;50;94;2;35;39;78;7;56.482891
COLOMBIA;F;20/02/1991;ESTUDIANTE;COLOMBIA;BOGOTA;BOGOTµ, D.C.;Soltero;Bachiller acadÇmico;2012;Primer semestre;Entre el 76% y el 80%;Entre 500 mil y menos de 1 mill¢n;No;No;No;No;8;Es habitual o permanente;No;Ninguna;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Trabajador por cuenta propia;Hogar;Estrato 3;No est† clasificada por el SISBEN;Tres;Tres;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;Si;No;No;No;Si;No;Si;Menos de 1 SMLV;Si, para contribuir a pagar su matr°cula y/o los gastos del hogar;POLITECNICO INTERNACIONAL INSTITUCION DE EDUCACION SUPERIOR-BOGOTµ D.C.;TêCNICA PROFESIONAL EN MECµNICA DENTAL;TECNICO EN SALUD;BOGOTµ, D.C.;BOGOTA;TêCNICO PROFESIONAL;PRESENCIAL;ODONTOLOGIA;BOGOTµ, D.C.;BOGOTA;TêCNICA PROFESIONAL;NO OFICIAL - FUNDACI‡N;BOGOTµ, D.C.;BOGOTA;11;119;82;93;104;58;70;121;85;92;125;B1;88;95;85;2;23;26;111;78;56.057076
COLOMBIA;F;14/11/1995;ESTUDIANTE;COLOMBIA;ANTIOQUIA;APARTAD‡;Soltero;Bachiller acadÇmico;2012;Segundo semestre;M†s del 90%;No pag¢ matr°cula;No;No;No;No;3;Es habitual o permanente;No;Ninguna;Primaria completa;Educaci¢n profesional completa;Otra actividad u ocupaci¢n;Otra actividad u ocupaci¢n;Estrato 1;Nivel 1;Ocho;Cinco;Cemento, gravilla, ladrillo;No;Si;No;Si;No;Si;No;No;Si;No;Si;Menos de 1 SMLV;Si, pr†ctica obligatoria del programa de estudios;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN GESTI‡N DE EMPRESAS AGROPECUARIAS;TECNOLOGICO EN CIENCIAS AGROPECUARIAS;APARTAD‡;ANTIOQUIA;TECNOLOG÷A;DISTANCIA;AGRONOMIA;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;APARTAD‡;ANTIOQUIA;5;93;37;50;98;47;59;70;8;11;98;A1;51;67;96;2;41;51;91;28;40.943031
COLOMBIA;F;20/11/1992;ESTUDIANTE;COLOMBIA;VALLE;TULUµ;Soltero;Bachiller acadÇmico;2009;Primer semestre;Entre el 76% y el 80%;No pag¢ matr°cula;No;No;No;No;3;Es habitual o permanente;No;Ninguna;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Empleado de nivel tÇcnico o profesional;Hogar;Estrato 2;No est† clasificada por el SISBEN;Cinco;Tres;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;No;Si;Si;Si;Si;Si;No;Entre 3 y menos de 5 SMLV;No;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN SISTEMAS DE GESTI‡N AMBIENTAL;TECNOLOGICO EN INGENIER÷A, INDUSTRIA Y MINAS;TULUµ;VALLE;TECNOLOG÷A;PRESENCIAL;INGENIERIA AMBIENTAL, SANITARIA Y AFINES;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;TULUµ;VALLE;76;97;44;57;97;45;57;117;80;87;117;A2;81;91;122;4;88;92;110;76;57.55463
COLOMBIA;M;04/09/1991;ESTUDIANTE;COLOMBIA;NORTE SANTANDER;CÈCUTA;Soltero;Bachiller acadÇmico;2010;Segundo semestre;Entre el 76% y el 80%;Entre 500 mil y menos de 1 mill¢n;No;No;No;No;2;Es habitual o permanente;No;Una;Primaria incompleta;Primaria incompleta;Empleado obrero u operario;Hogar;Estrato 1;Nivel 1;Cinco;Cuatro;Madera burda, tabla, tabl¢n;No;Si;No;No;No;No;No;Si;Si;Si;No;Entre 1 y menos de 2 SMLV;Si, para adquirir experiencia y/o recursos para sus gastos personales;DIRECCION NACIONAL DE ESCUELAS-BOGOTµ D.C.;TECNICA PROFESIONAL EN SEGURIDAD VIAL;TECNOLOGICO EN MILITAR Y POLICIAL;BOGOTµ, D.C.;BOGOTA;TêCNICO PROFESIONAL;PRESENCIAL;BIBLIOTECOLOGIA, OTROS DE CIENCIAS SOCIALES Y HUMANAS;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N UNIVERSITARIA;OFICIAL NACIONAL;CÈCUTA;NORTE SANTANDER;54;59;2;5;77;13;26;64;5;10;111;A2;73;87;96;2;41;50;81;10;37.01664
COLOMBIA;F;16/08/1991;ESTUDIANTE;COLOMBIA;BOGOTA;BOGOTµ, D.C.;Soltero;Bachiller tÇcnico;2009;Primer semestre;Entre el 81% y el 90%;Entre 1 mill¢n y menos de 3 millones;No;No;No;No;5;Es habitual o permanente;No;Dos;Primaria incompleta;Primaria incompleta;Trabajador por cuenta propia;Hogar;Estrato 3;No est† clasificada por el SISBEN;Dos;Dos;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;No;No;No;No;Si;Si;Si;Entre 1 y menos de 2 SMLV;Si, para contribuir a pagar su matr°cula y/o los gastos del hogar;FUNDACION PARA LA EDUCACION SUPERIOR SAN MATEO FUNDACION SAN MATEO-BOGOTµ D.C.;TECNICA PROFESIONAL EN PROCESOS ADMINISTRATIVOS;TECNICO EN ADMINISTRACI‡N Y TURISMO;BOGOTµ, D.C.;BOGOTA;TêCNICO PROFESIONAL;PRESENCIAL;ADMINISTRACION;BOGOTµ, D.C.;BOGOTA;TêCNICA PROFESIONAL;NO OFICIAL - FUNDACI‡N;BOGOTµ, D.C.;BOGOTA;11;114;75;77;128;92;93;106;60;61;114;A2;77;80;84;2;21;18;109;74;52.799049
COLOMBIA;M;15/03/1986;ESTUDIANTE;COLOMBIA;ANTIOQUIA;BELLO;Casado;Bachiller tÇcnico;2003;Segundo semestre;M†s del 90%;Menos de 500 mil;No;No;No;No;7;Es habitual o permanente;Si;Tres;Primaria completa;Secundaria (Bachillerato) incompleta;Otra actividad u ocupaci¢n;Otra actividad u ocupaci¢n;Estrato 3;Nivel 1;Cinco;Tres;Cemento, gravilla, ladrillo;Si;Si;Si;Si;No;No;No;Si;Si;Si;Si;Entre 2 y menos de 3 SMLV;Si, para contribuir a pagar su matr°cula y/o los gastos del hogar;INSTITUCION  UNIVERSITARIA PASCUAL BRAVO-MEDELLIN;TECNOLOGIA ELECTRONICA;TECNOLOGICO EN INGENIER÷A, INDUSTRIA Y MINAS;MEDELL÷N;ANTIOQUIA;TECNOLOG÷A;PRESENCIAL;INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES;MEDELL÷N;ANTIOQUIA;INSTITUCI‡N UNIVERSITARIA;OFICIAL NACIONAL;BELLO;ANTIOQUIA;5;126;90;85;107;64;63;49;1;1;106;A2;66;64;93;2;32;36;96;41;52.883965
COLOMBIA;M;19/12/1991;ESTUDIANTE;COLOMBIA;ANTIOQUIA;MEDELL÷N;Soltero;Bachiller tÇcnico;2008;Segundo semestre;Entre el 81% y el 90%;Entre 500 mil y menos de 1 mill¢n;No;No;No;No;4;Es habitual o permanente;No;Ninguna;TÇcnica o tecnol¢gica completa;Secundaria (Bachillerato) completa;Empleado de nivel tÇcnico o profesional;Hogar;Estrato 3;Nivel 3;Cuatro;Tres;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;Si;Si;No;Si;Si;Si;Si;Entre 3 y menos de 5 SMLV;Si, para contribuir a pagar su matr°cula y/o los gastos del hogar;POLITECNICO COLOMBIANOJAIME ISAZA CADAVID-MEDELLIN;TECNICA PROFESIONAL EN MASOTERAPIA;TECNICO EN ARTES - DISE•O - COMUNICACI‡N;MEDELL÷N;ANTIOQUIA;TêCNICO PROFESIONAL;PRESENCIAL;MEDICINA;MEDELL÷N;ANTIOQUIA;INSTITUCI‡N UNIVERSITARIA;OFICIAL DEPARTAMENTAL;MEDELL÷N;ANTIOQUIA;5;140;98;100;136;97;99;137;98;99;200;B2;100;100;95;2;38;46;142;100;61.478729
COLOMBIA;M;24/07/1985;ESTUDIANTE;COLOMBIA;ANTIOQUIA;MEDELL÷N;Soltero;Bachiller acadÇmico;2003;Segundo semestre;No sigue el sistema de crÇditos;No pag¢ matr°cula;No;No;No;No;4;Es habitual o permanente;No;Una;Educaci¢n profesional completa;Secundaria (Bachillerato) completa;Pensionado;Hogar;Estrato 3;Nivel 2;Cinco;Tres;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;Si;Si;No;No;Si;Si;Si;Entre 2 y menos de 3 SMLV;No;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN OBRAS CIVILES;TECNOLOGICO EN INGENIER÷A, INDUSTRIA Y MINAS;MEDELL÷N;ANTIOQUIA;TECNOLOG÷A;PRESENCIAL;INGENIERIA CIVIL Y AFINES;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;MEDELL÷N;ANTIOQUIA;5;99;48;40;114;76;74;123;88;87;109;A2;71;69;95;2;38;42;108;72;57.201073
COLOMBIA;F;23/04/1995;ESTUDIANTE;COLOMBIA;BOGOTA;BOGOTµ, D.C.;Soltero;Bachiller acadÇmico;2012;Segundo semestre;Entre el 81% y el 90%;Entre 500 mil y menos de 1 mill¢n;No;No;No;No;10;Es habitual o permanente;No;Ninguna;Primaria incompleta;Primaria incompleta;Empresario;Pensionado;Estrato 3;No est† clasificada por el SISBEN;Dos;Tres;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;Si;No;No;Si;Si;Si;Si;Menos de 1 SMLV;Si, pr†ctica obligatoria del programa de estudios;POLITECNICO INTERNACIONAL INSTITUCION DE EDUCACION SUPERIOR-BOGOTµ D.C.;TECNICA PROFESIONAL EN ENFERMERIA;TECNICO EN SALUD;BOGOTµ, D.C.;BOGOTA;TêCNICO PROFESIONAL;PRESENCIAL;ENFERMERIA;BOGOTµ, D.C.;BOGOTA;TêCNICA PROFESIONAL;NO OFICIAL - FUNDACI‡N;BOGOTµ, D.C.;BOGOTA;11;112;72;86;105;60;73;98;45;54;102;A1;59;74;100;2;46;54;103;60;54.637257
COLOMBIA;M;14/05/1993;ESTUDIANTE;COLOMBIA;VALLE;TULUµ;Soltero;Bachiller tÇcnico;2016;Segundo semestre;Menos del 75%;Menos de 500 mil;No;No;No;No;4;Es habitual o permanente;No;Una;Primaria incompleta;Primaria completa;Peque§o empresario;Hogar;Estrato 2;Nivel 1;Cuatro;Tres;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;No;No;No;No;Si;Si;No;Menos de 1 SMLV;Si, para contribuir a pagar su matr°cula y/o los gastos del hogar;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN GESTI‡N EMPRESARIAL;TECNOLOGICO EN ADMINISTRACI‡N Y TURISMO;TULUµ;VALLE;TECNOLOG÷A;DISTANCIA;ADMINISTRACION;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;TULUµ;VALLE;76;105;59;62;85;23;23;92;34;33;69;-A1;2;2;105;3;56;54;91;28;48.853691
COLOMBIA;M;22/08/1992;ESTUDIANTE;COLOMBIA;ANTIOQUIA;MEDELL÷N;Soltero;Bachiller acadÇmico;2009;Segundo semestre;No sigue el sistema de crÇditos;No pag¢ matr°cula;No;No;No;No;6;Es habitual o permanente;Si;Ninguna;Educaci¢n profesional incompleta;Secundaria (Bachillerato) completa;Trabajador por cuenta propia;Director o Gerente General;Estrato 4;No est† clasificada por el SISBEN;Dos;Dos;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;No;Si;Si;No;Si;No;Si;Entre 3 y menos de 5 SMLV;Si, para adquirir experiencia y/o recursos para sus gastos personales;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN DESARROLLO GRAFICO DE PROYECTOS DE ARQUITECTURA E INGENIERIA;TECNOLOGICO EN ARTES - DISE•O - COMUNICACI‡N;MEDELL÷N;ANTIOQUIA;TECNOLOG÷A;PRESENCIAL;SIN CLASIFICAR;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;MEDELL÷N;ANTIOQUIA;5;99;48;44;95;41;32;93;36;30;98;A1;51;36;60;1;4;4;89;24;60.067089
COLOMBIA;F;29/11/1983;ESTUDIANTE;COLOMBIA;SANTANDER;SAN GIL;Casado;Bachiller tÇcnico;2002;Primer semestre;No sigue el sistema de crÇditos;No pag¢ matr°cula;Si;Si;No;No;3;Es temporal por razones de estudio u otra raz¢n;No;Una;Primaria completa;Primaria completa;Trabajador por cuenta propia;Trabajador por cuenta propia;Estrato 2;Nivel 2;Dos;Dos;Madera pulida, baldosa, tableta, m†rmol, alfombra;No;Si;No;Si;No;No;No;Si;Si;Si;No;Menos de 1 SMLV;Si, pr†ctica obligatoria del programa de estudios;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN GESTI‡N ADMINISTRATIVA;TECNOLOGICO EN ADMINISTRACI‡N Y TURISMO;SAN GIL;SANTANDER;TECNOLOG÷A;DISTANCIA;ADMINISTRACION;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;SAN GIL;SANTANDER;68;101;52;54;94;39;39;105;58;57;90;A1;35;36;103;2;50;48;99;49;41.128513
COLOMBIA;F;14/09/1989;ESTUDIANTE;COLOMBIA;BOGOTA;BOGOTµ, D.C.;Soltero;Bachiller acadÇmico;2005;Segundo semestre;Entre el 76% y el 80%;Entre 1 mill¢n y menos de 3 millones;No;No;No;No;5;Es habitual o permanente;No;Ninguna;Secundaria (Bachillerato) completa;TÇcnica o tecnol¢gica incompleta;Empleado de nivel auxiliar o administrativo;Hogar;Estrato 3;No est† clasificada por el SISBEN;Tres;Tres;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;No;No;No;Si;Si;Si;Si;Entre 2 y menos de 3 SMLV;Si, para contribuir a pagar su matr°cula y/o los gastos del hogar;FUNDACION UNIVERSITARIA CAFAM-BOGOTµ D.C.;TECNOLOG÷A EN GESTI‡N EMPRESARIAL;TECNOLOGICO EN ADMINISTRACI‡N Y TURISMO;BOGOTµ, D.C.;BOGOTA;TECNOLOG÷A;PRESENCIAL;ADMINISTRACION;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N UNIVERSITARIA;NO OFICIAL - FUNDACI‡N;BOGOTµ, D.C.;BOGOTA;11;140;98;99;128;92;93;113;73;73;101;A1;57;59;94;2;35;32;115;85;61.800888
COLOMBIA;F;24/03/1988;ESTUDIANTE;COLOMBIA;SANTANDER;SAN GIL;Casado;Bachiller tÇcnico;2004;Segundo semestre;No sigue el sistema de crÇditos;No pag¢ matr°cula;No;No;No;No;4;Es habitual o permanente;No;Ninguna;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Trabajador por cuenta propia;Empleado obrero u operario;Estrato 1;Nivel 1;Cuatro;Dos;Cemento, gravilla, ladrillo;No;Si;No;No;No;No;No;No;Si;Si;No;Entre 1 y menos de 2 SMLV;No;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN GESTI‡N DE EMPRESAS AGROPECUARIAS;TECNOLOGICO EN CIENCIAS AGROPECUARIAS;SAN GIL;SANTANDER;TECNOLOG÷A;DISTANCIA;AGRONOMIA;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;SAN GIL;SANTANDER;68;120;83;91;148;100;100;111;70;79;72;-A1;6;10;89;2;28;37;108;72;36.081249
COLOMBIA;M;22/01/1992;ESTUDIANTE;COLOMBIA;SANTANDER;BUCARAMANGA;Soltero;Bachiller tÇcnico;2009;Segundo semestre;M†s del 90%;No pag¢ matr°cula;No;No;No;No;3;Es habitual o permanente;No;Ninguna;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Trabajador por cuenta propia;Trabajador por cuenta propia;Estrato 3;Nivel 3;Siete;Tres;Madera pulida, baldosa, tableta, m†rmol, alfombra;Si;Si;Si;Si;No;No;No;No;Si;Si;Si;Entre 1 y menos de 2 SMLV;Si, pr†ctica obligatoria del programa de estudios;SERVICIO NACIONAL DE APRENDIZAJE-SENA;TECNOLOG÷A EN DISTRIBUCI‡N F÷SICA INTERNACIONAL;TECNOLOGICO EN ADMINISTRACI‡N Y TURISMO;BUCARAMANGA;SANTANDER;TECNOLOG÷A;PRESENCIAL;SIN CLASIFICAR;BOGOTµ, D.C.;BOGOTA;INSTITUCI‡N TECNOL‡GICA;OFICIAL NACIONAL;BUCARAMANGA;SANTANDER;68;119;82;85;89;30;29;123;88;88;137;B1;95;96;87;2;26;23;111;78;55.786381
